symbol,interval_sc,open_timestamp_ms,open,high,low,close,volume
BTC-USDT,60,1761375000000,111438.62,111438.62,111413.68,111413.68,3.02856
BTC-USDT,60,1761375060000,111413.69,111413.69,111404.21,111404.22,1.96603
BTC-USDT,60,1761375120000,111404.21,111404.3,111404.21,111404.3,6.55684
BTC-USDT,60,1761375180000,111404.3,111404.3,111401.51,111401.51,2.20992
BTC-USDT,60,1761375240000,111401.51,111401.52,111401.5,111401.5,0.78831
BTC-USDT,60,1761375300000,111401.5,111401.5,111364.8,111375.13,21.11101
BTC-USDT,60,1761375360000,111375.42,111380.16,111375.41,111380.16,0.87868
BTC-USDT,60,1761375420000,111380.15,111380.16,111366.42,111366.42,2.30603
BTC-USDT,60,1761375480000,111366.43,111366.43,111366.42,111366.43,0.25849
BTC-USDT,60,1761375540000,111366.42,111366.43,111366.42,111366.42,0.69197
BTC-USDT,60,1761375600000,111366.43,111366.44,111366.43,111366.43,0.78516
BTC-USDT,60,1761375660000,111366.43,111378.53,111366.43,111378.52,1.72118
BTC-USDT,60,1761375720000,111378.53,111435.02,111378.52,111435.01,14.08549
BTC-USDT,60,1761375780000,111435.02,111435.02,111435.01,111435.01,0.47996
BTC-USDT,60,1761375840000,111435.01,111475.5,111435.01,111466.17,5.59506
BTC-USDT,60,1761375900000,111466.16,111466.17,111466.15,111466.15,2.38225
BTC-USDT,60,1761375960000,111466.15,111466.16,111435.01,111435.01,4.70629
BTC-USDT,60,1761376020000,111435.02,111449.0,111435.01,111449.0,4.1767
BTC-USDT,60,1761376080000,111449.0,111449.0,111443.23,111444.35,0.56931
BTC-USDT,60,1761376140000,111444.36,111444.36,111442.81,111442.82,1.00383
BTC-USDT,60,1761376200000,111442.81,111442.82,111425.66,111425.66,4.39256
BTC-USDT,60,1761376260000,111425.67,111425.67,111423.21,111423.21,3.1496
BTC-USDT,60,1761376320000,111423.22,111423.22,111423.21,111423.22,0.65407
BTC-USDT,60,1761376380000,111423.21,111446.81,111423.21,111446.8,5.60006
BTC-USDT,60,1761376440000,111446.81,111447.6,111446.8,111447.59,0.71544
BTC-USDT,60,1761376500000,111447.6,111457.39,111447.6,111457.38,0.93221
BTC-USDT,60,1761376560000,111457.39,111477.3,111457.38,111477.3,2.13552
BTC-USDT,60,1761376620000,111477.29,111631.77,111477.29,111568.11,32.84535
BTC-USDT,60,1761376680000,111568.12,111636.14,111568.11,111600.25,6.67248
BTC-USDT,60,1761376740000,111600.25,111600.26,111552.43,111552.43,6.10159
BTC-USDT,60,1761376800000,111552.44,111592.97,111552.43,111582.62,3.27786
BTC-USDT,60,1761376860000,111582.62,111636.13,111582.62,111623.04,9.61094
BTC-USDT,60,1761376920000,111623.05,111623.05,111603.82,111603.83,4.42749
BTC-USDT,60,1761376980000,111603.82,111674.65,111603.82,111674.64,9.51251
BTC-USDT,60,1761377040000,111674.65,111711.16,111667.31,111685.2,18.30438
BTC-USDT,60,1761377100000,111685.21,111685.21,111622.45,111622.46,4.42988
BTC-USDT,60,1761377160000,111622.45,111640.01,111601.0,111635.67,8.42595
BTC-USDT,60,1761377220000,111635.66,111669.86,111635.66,111669.86,4.14839
BTC-USDT,60,1761377280000,111669.86,111669.86,111624.23,111624.24,3.81752
BTC-USDT,60,1761377340000,111624.23,111643.43,111560.31,111643.42,21.64935
BTC-USDT,60,1761377400000,111643.43,111650.73,111625.89,111625.89,3.80571
BTC-USDT,60,1761377460000,111625.89,111625.89,111601.61,111602.71,1.49528
BTC-USDT,60,1761377520000,111602.7,111636.77,111602.7,111620.22,6.55073
BTC-USDT,60,1761377580000,111620.22,111820.87,111620.22,111640.0,53.20145
BTC-USDT,60,1761377640000,111640.0,111683.84,111599.37,111599.37,9.64631
BTC-USDT,60,1761377700000,111599.36,111599.36,111535.44,111538.4,9.69078
BTC-USDT,60,1761377760000,111538.39,111538.41,111479.7,111530.79,24.16151
BTC-USDT,60,1761377820000,111530.79,111530.79,111498.47,111509.6,1.24689
BTC-USDT,60,1761377880000,111509.61,111613.16,111509.6,111595.41,11.61529
BTC-USDT,60,1761377940000,111595.41,111712.0,111595.2,111663.6,21.42807
BTC-USDT,60,1761378000000,111663.59,111663.6,111575.83,111575.83,22.35606
BTC-USDT,60,1761378060000,111575.83,111575.84,111526.5,111528.96,11.57653
BTC-USDT,60,1761378120000,111528.97,111551.09,111522.97,111522.97,6.80965
BTC-USDT,60,1761378180000,111522.96,111557.86,111522.96,111557.86,1.6817
BTC-USDT,60,1761378240000,111557.85,111557.86,111537.47,111537.47,1.08006
BTC-USDT,60,1761378300000,111537.48,111537.48,111491.66,111491.67,6.5975
BTC-USDT,60,1761378360000,111491.66,111500.0,111456.23,111500.0,5.2841
BTC-USDT,60,1761378420000,111500.0,111522.7,111471.76,111471.77,4.56173
BTC-USDT,60,1761378480000,111471.77,111471.77,111453.66,111453.67,7.45313
BTC-USDT,60,1761378540000,111453.67,111453.68,111438.91,111438.91,3.69447
BTC-USDT,60,1761378600000,111438.91,111475.98,111438.91,111463.1,2.00931
BTC-USDT,60,1761378660000,111463.1,111489.81,111462.59,111489.78,3.7798
BTC-USDT,60,1761378720000,111489.78,111529.72,111489.78,111529.71,5.40997
BTC-USDT,60,1761378780000,111529.71,111529.71,111509.57,111509.58,1.36344
BTC-USDT,60,1761378840000,111509.58,111523.22,111497.91,111515.47,10.39952
